ATP8B2	ATP8B2
UBE2Q1	UBE2Q1
ADAR	ADAR
PMVK	PMVK
PBXIP1	PBXIP1
PYGO2	PYGO2
AL451085.2	AL451085.2
SHC1	SHC1
FLAD1	FLAD1
ZBTB7B	ZBTB7B
ADAM15	ADAM15
EFNA4	EFNA4
EFNA3	EFNA3
EFNA1	EFNA1
SLC50A1	SLC50A1
DPM3	DPM3
KRTCAP2	KRTCAP2
AC234582.1	AC234582.1
THBS3	THBS3
MTX1	MTX1
GBA	GBA
FAM189B	FAM189B
SCAMP3	SCAMP3
CLK2	CLK2
HCN3	HCN3
FDPS	FDPS
RUSC1	RUSC1
ASH1L	ASH1L
ASH1L-AS1	ASH1L-AS1
MSTO1	MSTO1
YY1AP1	YY1AP1
DAP3	DAP3
GON4L	GON4L
RIT1	RIT1
KHDC4	KHDC4
ARHGEF2	ARHGEF2
UBQLN4	UBQLN4
LAMTOR2	LAMTOR2
MEX3A	MEX3A
LMNA	LMNA
SLC25A44	SLC25A44
PMF1-BGLAP	PMF1-BGLAP
PMF1	PMF1
BGLAP	BGLAP
PAQR6	PAQR6
SMG5	SMG5
TMEM79	TMEM79
TSACC	TSACC
MEF2D	MEF2D
IQGAP3	IQGAP3
NAXE	NAXE
GPATCH4	GPATCH4
NES	NES
ISG20L2	ISG20L2
RRNAD1	RRNAD1
MRPL24	MRPL24
HDGF	HDGF
PRCC	PRCC
ARHGEF11	ARHGEF11
ETV3	ETV3
KIRREL1	KIRREL1
TAGLN2	TAGLN2
PIGM	PIGM
IGSF8	IGSF8
PEA15	PEA15
DCAF8	DCAF8
PEX19	PEX19
COPA	COPA
NCSTN	NCSTN
VANGL2	VANGL2
USF1	USF1
KLHDC9	KLHDC9
NIT1	NIT1
DEDD	DEDD
UFC1	UFC1
USP21	USP21
PPOX	PPOX
B4GALT3	B4GALT3
NDUFS2	NDUFS2
TOMM40L	TOMM40L
SDHC	SDHC
FCRLB	FCRLB
DUSP12	DUSP12
ATF6	ATF6
UHMK1	UHMK1
UAP1	UAP1
DDR2	DDR2
HSD17B7	HSD17B7
NUF2	NUF2
PBX1	PBX1
MGST3	MGST3
ALDH9A1	ALDH9A1
TMCO1	TMCO1
UCK2	UCK2
POGK	POGK
TADA1	TADA1
POU2F1	POU2F1
CREG1	CREG1
MPZL1	MPZL1
MPC2	MPC2
DCAF6	DCAF6
GPR161	GPR161
TIPRL	TIPRL
SFT2D2	SFT2D2
ATP1B1	ATP1B1
NME7	NME7
BLZF1	BLZF1
CCDC181	CCDC181
SLC19A2	SLC19A2
C1orf112	C1orf112
METTL18	METTL18
SCYL3	SCYL3
KIFAP3	KIFAP3
GORAB	GORAB
PRRC2C	PRRC2C
VAMP4	VAMP4
METTL13	METTL13
DNM3	DNM3
DNM3OS	DNM3OS
PIGC	PIGC
SUCO	SUCO
AL645568.1	AL645568.1
ANKRD45	ANKRD45
KLHL20	KLHL20
CENPL	CENPL
DARS2	DARS2
ZBTB37	ZBTB37
RC3H1	RC3H1
RABGAP1L	RABGAP1L
MRPS14	MRPS14
COP1	COP1
RASAL2	RASAL2
RALGPS2	RALGPS2
ANGPTL1	ANGPTL1
FAM20B	FAM20B
TOR3A	TOR3A
ABL2	ABL2
SOAT1	SOAT1
TOR1AIP2	TOR1AIP2
TOR1AIP1	TOR1AIP1
CEP350	CEP350
QSOX1	QSOX1
ACBD6	ACBD6
XPR1	XPR1
STX6	STX6
MR1	MR1
IER5	IER5
GLUL	GLUL
RGS16	RGS16
LINC01686	LINC01686
NPL	NPL
DHX9	DHX9
LAMC1	LAMC1
SMG7	SMG7
ARPC5	ARPC5
COLGALT2	COLGALT2
TSEN15	TSEN15
EDEM3	EDEM3
FAM129A	FAM129A
RNF2	RNF2
TRMT1L	TRMT1L
IVNS1ABP	IVNS1ABP
TPR	TPR
ODR4	ODR4
ERVMER61-1	ERVMER61-1
BRINP3	BRINP3
LINC01351	LINC01351
RGS2	RGS2
UCHL5	UCHL5
TROVE2	TROVE2
GLRX2	GLRX2
CDC73	CDC73
ASPM	ASPM
ZBTB41	ZBTB41
C1orf53	C1orf53
NEK7	NEK7
ZNF281	ZNF281
KIF14	KIF14
DDX59	DDX59
CAMSAP2	CAMSAP2
INAVA	INAVA
TMEM9	TMEM9
TNNI1	TNNI1
PHLDA3	PHLDA3
CSRP1	CSRP1
NAV1	NAV1
IPO9	IPO9
SHISA4	SHISA4
LMOD1	LMOD1
TIMM17A	TIMM17A
RNPEP	RNPEP
ARL8A	ARL8A
UBE2T	UBE2T
PPP1R12B	PPP1R12B
KDM5B	KDM5B
PCAT6	PCAT6
RABIF	RABIF
KLHL12	KLHL12
ADIPOR1	ADIPOR1
CYB5R1	CYB5R1
TMEM183A	TMEM183A
BTG2	BTG2
ATP2B4	ATP2B4
ETNK2	ETNK2
PPP1R15B	PPP1R15B
PIK3C2B	PIK3C2B
MDM4	MDM4
RBBP5	RBBP5
DSTYK	DSTYK
NUAK2	NUAK2
CDK18	CDK18
ELK4	ELK4
NUCKS1	NUCKS1
RAB29	RAB29
SLC41A1	SLC41A1
SRGAP2	SRGAP2
IKBKE	IKBKE
EIF2D	EIF2D
DYRK3	DYRK3
MAPKAPK2	MAPKAPK2
PFKFB2	PFKFB2
YOD1	YOD1
CD46	CD46
C1orf74	C1orf74
UTP25	UTP25
RCOR3	RCOR3
TRAF5	TRAF5
LINC00467	LINC00467
SLC30A1	SLC30A1
NEK2	NEK2
LPGAT1	LPGAT1
INTS7	INTS7
DTL	DTL
PPP2R5A	PPP2R5A
TMEM206	TMEM206
NENF	NENF
NSL1	NSL1
TATDN3	TATDN3
FLVCR1-DT	FLVCR1-DT
FLVCR1	FLVCR1
VASH2	VASH2
ANGEL2	ANGEL2
RPS6KC1	RPS6KC1
SMYD2	SMYD2
PTPN14	PTPN14
CENPF	CENPF
KCTD3	KCTD3
ESRRG	ESRRG
GPATCH2	GPATCH2
RRP15	RRP15
TGFB2	TGFB2
C1orf143	C1orf143
EPRS	EPRS
BPNT1	BPNT1
IARS2	IARS2
RAB3GAP2	RAB3GAP2
TAF1A	TAF1A
MIA3	MIA3
AIDA	AIDA
BROX	BROX
AL392172.1	AL392172.1
CAPN2	CAPN2
TP53BP2	TP53BP2
FBXO28	FBXO28
DEGS1	DEGS1
NVL	NVL
CNIH4	CNIH4
WDR26	WDR26
CNIH3	CNIH3
DNAH14	DNAH14
LBR	LBR
ENAH	ENAH
SRP9	SRP9
EPHX1	EPHX1
TMEM63A	TMEM63A
