983	LINC01738
984	TRABD2B
985	AL691459.1
986	AC096541.1
987	AL356289.1
988	AL356289.2
989	AL109659.1
990	SLC5A9
991	AL109659.2
992	SPATA6
993	AGBL4
994	BEND5
995	AC099788.1
996	AL590432.1
997	ELAVL4
998	AL592182.2
999	AL592182.1
1000	AL596275.2
1001	AL592182.3
1002	DMRTA2
1003	FAF1
1004	AL049637.1
1005	CDKN2C
1006	C1orf185
1007	LINC01562
1008	RNF11
1009	AL162430.2
1010	TTC39A
1011	TTC39A-AS1
1012	EPS15
1013	AC104170.2
1014	AC104170.1
1015	OSBPL9
1016	NRDC
1017	AL050343.1
1018	AL050343.2
1019	RAB3B
1020	TXNDC12
1021	KTI12
1022	AL445685.1
1023	TXNDC12-AS1
1024	BTF3L4
1025	ZFYVE9
1026	CC2D1B
1027	AL513218.1
1028	ORC1
1029	PRPF38A
1030	TUT4
1031	AL591167.1
1032	GPX7
1033	SHISAL2A
1034	COA7
1035	ZYG11B
1036	ZYG11A
1037	AC099677.4
1038	ECHDC2
1039	SCP2
1040	PODN
1041	AL445183.1
1042	SLC1A7
1043	AL445183.2
1044	CPT2
1045	AL606760.2
1046	C1orf123
1047	AL606760.3
1048	MAGOH
1049	AL606760.1
1050	LRP8
1051	AL355483.4
1052	AL355483.2
1053	AL355483.3
1054	LINC01771
1055	AC119428.1
1056	AC119428.2
1057	DMRTB1
1058	GLIS1
1059	NDC1
1060	YIPF1
1061	DIO1
1062	HSPB11
1063	LRRC42
1064	LDLRAD1
1065	TMEM59
1066	TCEANC2
1067	AL357673.1
1068	CDCP2
1069	AL357673.2
1070	CYB5RL
1071	MRPL37
1072	SSBP3
1073	SSBP3-AS1
1074	AL161644.1
1075	AL035415.1
1076	AC099796.1
1077	ACOT11
1078	FAM151A
1079	MROH7
1080	MROH7-TTC4
1081	TTC4
1082	PARS2
1083	TTC22
1084	AC096536.2
1085	LEXM
1086	DHCR24
1087	AC096536.3
1088	AC096536.1
1089	TMEM61
1090	AL590440.1
1091	BSND
1092	PCSK9
1093	USP24
1094	MIR4422HG
1095	AL603840.1
1096	LINC01753
